title,comment,date
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,"저게 바로 생각이라는 겁니다. 수학은 어떤 방식으로 풀든 ""생각""해야 됩니다. 한국학생들이 외국학생들에 비해 모자란게 ""생각""의 경험이죠. 문제를 읽고 5초만 멍때려도 어려운 문제구나 하고 해답을 참고하는 학생은 한국학생들밖에 없을 겁니다. 외국 학생들은 어떤 문제를 5분간 멍때리다 떠올려서 풀어도 쉬운 문제구나 합니다. 여러분이 어떤 문제를 5분 이상씩만 차분히 생각하면서 지나갔다면 여러분만의 방식이 생기고 수학이 쉬워집니다. 제발 고 1 이하의 학생이라면, 시간이 좀 더 오래걸리더라도 ""생각"" 하십시오. 그게 오히려 지름길입니다. 추가로 하나만 더 말씀드리자면, 동일문제반복효과가 매우 좋습니다. 10권의 책을 1번씩 푸는 것보다, 1권의 책을 10번 보는게 훨씬 효과적입니다. 생각을 많이하면서 동일문제를 계속 반복해보세요.수학이 늡니다.﻿",한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,"아 무슨말인가했더니 그말이구나..
수능수학범위안의 공식 및 개념공부했다는
학생들이라고 전제를 깔고 말하자면
수능수학문제가 아무리 어려웠어도
막상 답안 해설을 보면 다 이해되는데
그 순간에만 안풀렸다고 수학을 못한다는건
진짜 맞는말이네요..﻿",한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,문과는 공장가라﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,야매로 풀지말고 오로지 논리로 풀어라 이거네.﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,21은 왜안되요?﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,문과 시러... 존나 못해﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,우리 광일샘 간만에 뵙네요. 사랑해요.﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,"한석원방구소리
1.짬뽕
2.빵꾸뽕﻿",한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,"현역 나형 96점 문과생입니다. 이과 말대로 문과가 공부량이 적기도 하고, 경제+법정 조합 들고와도 물1+생1 겨우 비벼볼 난이도고 가형 17~19번 난이도가 나형 29수준입니다..... 근데 서로 꿈 있으니까 문과나 이과로 간거 아닌가요? 서로 그렇게 까지 깔 필요가 있습니까? 물론 수포자가 수학하기 싫어서 문과 오는 경우도 많은데 그래도 나중에 대가를 치르지 않나요? 서로 까고 부심 부릴 시간에 차라리 공부하는게 정신적으로 더 이로울거 같네요﻿",한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!,문과 만세﻿,한석원쌤이 문과러에게 전하는 영상! 이건 꼭 들어야 해!
